community,census_tract,county,hardship_index,ma_percentile,pop_total,percapita_income,percent_not_hs_grad,percent_unemployed,percent_dependent,percent_poverty,percent_crowding
Chelsea,1603, Suffolk County,34.96597857875203,70,2536,35529,11.200000000000001,8.4,36.7,10.4,4.2
Mattapan,1009, Suffolk County,35.01507357431299,70,3975,29866,13.6,11.9,33.8,10.1,1.6
Dorchester,911, Suffolk County,35.10611571062809,70,5477,30475,15.8,4.3,30.5,21,3.3
Somerville,3515, Middlesex County,35.53173926031956,72,2701,30706,21.5,1.7,28.60000000000001,11.9,7
Dorchester,1006.01, Suffolk County,35.86050095261376,73,5185,30120,13.3,11,28.80000000000001,13.3,4.1
Revere,1705.01, Suffolk County,35.86520652781375,73,3672,30216,14,8.5,32.3,17.5,2.8
Somerville,3507, Middlesex County,36.3487375920486,74,6863,37138,11.8,7.5,26.700000000000003,25.6,5.4
Revere,1701, Suffolk County,36.688823305170104,75,7979,24706,16.299999999999997,9.8,32.5,10,3.6
Somerville,3501.04, Middlesex County,36.994011452145116,75,7032,27982,14.3,8.1,29.299999999999997,21.1,3.9
Cambridge,3524, Middlesex County,37.003494501512115,75,2041,32186,19,6.3,31.30000000000001,25.2,2.2
East Boston,504, Suffolk County,37.25141945263535,76,2437,29587,27.299999999999997,8.9,21.89999999999999,11.6,5.4
East Boston,512, Suffolk County,37.42501658524576,76,2695,34564,20.1,4.5,28.19999999999999,25.6,4.8
Revere,1705.02, Suffolk County,37.47049145468861,76,2744,31681,11,8.5,41.300000000000004,15.3,3.5
Dorchester,1004, Suffolk County,37.82482564099623,77,5209,25051,18.5,8.6,32.8,13.4,3.9
Dorchester,912, Suffolk County,38.58431232731384,78,3241,32094,17.1,13.6,28.39999999999999,28.1,0.7
Revere,1704, Suffolk County,38.93106706742682,79,5425,25239,18.4,10.3,33.3,16.6,3.2
East Boston,510, Suffolk County,39.56234279610273,80,4548,26923,20,11.6,32.19999999999999,17.6,3.1
Somerville,3514.04, Middlesex County,39.73095446657116,80,4032,27117,29.299999999999997,9.2,23.299999999999997,14.3,5.9
West Roxbury,1304.06, Suffolk County,39.74188148685095,80,5399,25911,16.7,5.7,42.300000000000004,18.3,3.8
East Boston,511.01, Suffolk County,39.893629800744996,80,6463,28637,20.7,7.1,29.900000000000006,24.4,4.9
Mattapan,1010.02, Suffolk County,40.22766124583224,81,4926,18513,14.6,9.6,36.9,22.7,2.1
Revere,1706.01, Suffolk County,40.8851852005162,82,5864,25328,17.2,9.4,31.19999999999999,13,8.4
Chelsea,1606.02, Suffolk County,40.908893684877626,82,4792,22465,23.5,7.4,35.400000000000006,20,3.4
Dorchester,1003, Suffolk County,41.34802243372015,82,3642,20488,16.4,8.4,35.5,26.1,3.4
Revere,1707.01, Suffolk County,41.47850151009475,82,2120,30538,19.8,12.3,25.099999999999994,26.7,5.5
Revere,1702, Suffolk County,41.49961429713279,83,4837,23200,18.2,5.3,41.3,20.6,4.9
Dorchester,909.01, Suffolk County,42.18058480942347,84,3832,19162,8.5,10.8,20.099999999999994,49.3,3.7
Dorchester,907, Suffolk County,42.35998345124722,84,4613,29075,20.8,10.2,23.299999999999997,26.9,7.8
Dorchester,913, Suffolk County,43.78634441235954,86,2596,17411,30.7,8.8,34.2,25.8,1.6
Chelsea,1605.02, Suffolk County,44.186459363177704,87,4202,26358,35,9.8,37.8,16.8,3.2
South Boston,610, Suffolk County,44.25470618622845,87,3190,22011,15.8,13,33.5,41.5,0.8
Chelsea,1606.01, Suffolk County,44.79456759373847,87,4662,25320,22.9,10.1,39.800000000000004,24.9,4.3
Revere,1707.02, Suffolk County,45.02028507633807,88,6269,22046,27.9,8.1,29,27.1,6.7
Dorchester,915, Suffolk County,45.10927164105899,88,4801,20383,25,12.7,28.5,19.9,7.2
Dorchester,1005, Suffolk County,45.5802194516028,88,7227,25311,25.6,13.7,34.5,24.3,4.4
Dorchester,919, Suffolk County,45.9385242168999,89,4016,23167,26.1,17,31.099999999999994,17.2,5.8
Dorchester,924, Suffolk County,46.181641502604805,89,5732,14918,24.7,16.2,35.5,22.4,2.4
Dorchester,916, Suffolk County,46.41217226420247,89,3382,18010,26,15.4,33.599999999999994,24.5,3.3
Mattapan,1011.01, Suffolk County,47.016886160341244,89,3808,18857,29.799999999999997,16.1,35.60000000000001,18.2,3.8
Dorchester,1001, Suffolk County,47.062086785796744,90,6146,16127,21.6,11,38.199999999999996,33.9,3.2
Dorchester,923, Suffolk County,47.442334710178876,90,3452,19038,25.1,16,39.4,24,2.8
Mattapan,1010.01, Suffolk County,47.893989120728754,90,5817,20204,23.6,18.2,33.400000000000006,26,4.3
Charlestown,402, Suffolk County,48.83135056572053,91,1841,30941,15.3,13.4,42.300000000000004,33.9,7.2
Chelsea,1605.01, Suffolk County,49.064070912395636,91,4819,21639,39,6.4,29.700000000000003,20.6,10.8
Dorchester,917, Suffolk County,49.37454791158058,92,3304,21153,37.5,13.8,33.400000000000006,23.9,5
Dorchester,1002, Suffolk County,49.48059838912284,92,3005,19173,20,17.6,36.7,25.1,6.7
Dorchester,914, Suffolk County,49.49788662782377,92,2721,17414,28.2,15.8,31.89999999999999,28.7,5.4
South End,712.01, Suffolk County,49.708411004860814,92,3398,45732,31.2,18.3,33.400000000000006,29.7,7.4
East Boston,509.01, Suffolk County,49.782732740595094,93,4740,24438,38.6,9,23.599999999999994,17.3,14
East Boston,502, Suffolk County,50.207332608108366,93,6083,21351,36.599999999999994,8.3,28.799999999999997,12.7,14.6
Dorchester,920, Suffolk County,50.301321028113854,93,5567,17082,25.9,18.5,36.39999999999999,28.8,3.9
Dorchester,918, Suffolk County,50.491353790714065,94,3811,18603,18.9,21.7,35.7,28.7,5.1
Mattapan,1011.02, Suffolk County,50.53220095396881,94,5146,15755,25.5,17.8,36.400000000000006,28.1,4.7
Dorchester,902, Suffolk County,53.32743999665569,95,2383,12959,29.8,18.2,35.8,34.2,4.4
Downtown/Chinatown/LeatherDistrict,702, Suffolk County,53.40585852895864,95,5724,18616,49.7,9.2,22.099999999999994,29.7,10.5
Chelsea,1604, Suffolk County,54.03597490070664,96,2855,18830,37.5,11.5,30.19999999999999,15.9,15.3
East Boston,505, Suffolk County,54.369196872033996,96,2305,19833,35.9,7.4,32.2,17.7,17.5
East Boston,506, Suffolk County,54.53201171751774,96,2292,27424,42.3,13.7,20.299999999999997,14.7,18.5
East Boston,503, Suffolk County,54.96724008168358,96,2142,16902,43.7,9.1,40.6,33.8,6.3
East Boston,501.01, Suffolk County,55.156348215587116,96,5487,20550,37.7,11.9,34.60000000000001,24.8,12.4
Dorchester,903, Suffolk County,55.35597814748218,97,3631,14827,19.7,22.4,42.900000000000006,38,4.4
Dorchester,901, Suffolk County,55.55678945994011,97,4812,17821,27.6,25,35,32.6,5.6
South End,704.02, Suffolk County,56.76995053583658,97,1700,13141,33.599999999999994,13.9,43.8,42.7,4.5
East Boston,507, Suffolk County,59.424247561846755,98,5311,23038,43.7,8.5,30,25.1,19.7
South Boston,607, Suffolk County,60.340982060584786,98,2557,9015,35,13.4,45.400000000000006,41,8
Chelsea,1601.01, Suffolk County,62.64504986598356,99,9440,16885,43.1,11.9,36.7,24.7,18.6
Chelsea,1602, Suffolk County,63.12913698867027,99,4275,16927,52.7,8.2,30.900000000000006,23.4,20.7
South Boston,611.01, Suffolk County,66.88917346399461,99,2168,12893,43.5,25.5,39.8,60.2,3.2
